Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;;;;;;
Average wup;0.4848361744136506;Std wup;0.27723338225387223;Skew wup;0.17287534704021748;Kurtosis wup;-1.4347536399540215;;;;;;
Average w2v;1.001127592073211;Std w2v;0.08707939354581425;Skew w2v;0.1779403610506929;Kurtosis w2v;0.07048452308865327;;;;;;
Word;duo;Similarity wup;Similarity w2v;;;;;;;;;wup;w2w
abbott;costello;;0,986983137;;;;;;;;Min;0,105263158;0,803502291
adam;eve;0,6;0,934085183;;;;;;;;Max;0,9;1,266517222
anarm;aleg;;0,99257331;;;;;;;;;;
antony;cleopatra;0,461538462;0,896075793;;;;;;;;;;
apples;oranges;0,782608696;1,023204727;;;;;;;;;;
bacon;eggs;0,375;1,020732503;;;;;;;;;;
barbie;ken;;0,949852839;;;;;;;;;;
batman;robin;0,48;1,150287181;;;;;;;;;;
bed;breakfast;0,222222222;0,965974592;;;;;;;;;;
before;after;;1,12637049;;;;;;;;;;
bert;ernie;;1,021731094;;;;;;;;;;
big;tall;;1,005867404;;;;;;;;;;
black;white;0,153846154;0,898113906;;;;;;;;;;
bonnie;clyde;;1,040641852;;;;;;;;;;
bow;arrow;0,105263158;0,81751363;;;;;;;;;;
boys;girls;0,631578947;1,081652835;;;;;;;;;;
bread;butter;0,75;0,944504116;;;;;;;;;;
cain;abel;0,6;0,921700545;;;;;;;;;;
castor;pollux;0,823529412;1,01883295;;;;;;;;;;
cold;hot;;1,028491015;;;;;;;;;;
crick;watson;0,133333333;0,935910188;;;;;;;;;;
cut;paste;0,4;1,003444497;;;;;;;;;;
day;night;0,545454545;0,932448298;;;;;;;;;;
death;taxes;0,266666667;1,012216846;;;;;;;;;;
dick;jane;;1,052861102;;;;;;;;;;
divide;conquer;;1,019031251;;;;;;;;;;
dogs;cats;0,857142857;0,982658654;;;;;;;;;;
each;every;;1,004388161;;;;;;;;;;
ebony;ivory;0,222222222;0,892380595;;;;;;;;;;
fast;slow;;1,06681776;;;;;;;;;;
fat;thin;;1,037959725;;;;;;;;;;
fife;drum;0,727272727;1,064928256;;;;;;;;;;
fire;brimstone;0,285714286;0,972991647;;;;;;;;;;
fish;chips;0,2;1,030302349;;;;;;;;;;
flotsam;jetsam;0,727272727;1,064102508;;;;;;;;;;
free;clear;0,333333333;0,917415105;;;;;;;;;;
gilbert;sullivan;0,133333333;1,146497518;;;;;;;;;;
give;take;0,235294118;1,017984163;;;;;;;;;;
good;evil;0,25;0,828368247;;;;;;;;;;
hansel;gretel;;1,266517222;;;;;;;;;;
happy;sad;;0,928162321;;;;;;;;;;
heaven;hell;0,833333333;0,985239917;;;;;;;;;;
high;low;0,117647059;0,904842973;;;;;;;;;;
hiroshima;nagasaki;0,9;0,974522164;;;;;;;;;;
hot;cold;;1,028491015;;;;;;;;;;
in;out;0,266666667;0,909068204;;;;;;;;;;
jack;jill;;0,851048246;;;;;;;;;;
jekyll;hyde;;1,102679275;;;;;;;;;;
king;queen;0,571428571;1,052063316;;;;;;;;;;
kirk;spock;0,32;1,009200023;;;;;;;;;;
ladies;gentlemen;0,6;0,965320185;;;;;;;;;;
lady;thetramp;;0,803502291;;;;;;;;;;
lancelot;guinevere;0,9;1,08161395;;;;;;;;;;
laurel;hardy;0,52173913;1,198226228;;;;;;;;;;
left;right;0,125;1,034701981;;;;;;;;;;
lewis;clark;0,571428571;1,029878046;;;;;;;;;;
love;hate;0,857142857;1,046254713;;;;;;;;;;
lucy;desi;;0,952499956;;;;;;;;;;
maddogs;englishmen;;1,120988235;;;;;;;;;;
marx;engels;0,545454545;1,020871591;;;;;;;;;;
meat;potatoes;0,666666667;1,097271577;;;;;;;;;;
michelson;morley;0,6;0,943854973;;;;;;;;;;
mom;pop;0,857142857;0,96112578;;;;;;;;;;
motherhood;applepie;;0,823580563;;;;;;;;;;
napoleon;josephine;;0,998508179;;;;;;;;;;
near;far;;0,91982431;;;;;;;;;;
new;old;;0,970639586;;;;;;;;;;
old;young;0,142857143;1,111670598;;;;;;;;;;
open;shut;;1,029757224;;;;;;;;;;
orpheus;eurydice;0,9;1,112099275;;;;;;;;;;
phobos;deimos;0,875;1,07433629;;;;;;;;;;
porgy;bess;0,4;1,113483988;;;;;;;;;;
punch;judy;;0,986604726;;;;;;;;;;
push;pull;0,857142857;0,901644081;;;;;;;;;;
question;answer;0,266666667;0,955861595;;;;;;;;;;
republicans;democrats;0,6;1,03470372;;;;;;;;;;
right;wrong;0,235294118;1,020539032;;;;;;;;;;
rock;roll;0,133333333;0,974999655;;;;;;;;;;
romeo;juliet;;0,954370853;;;;;;;;;;
romulus;remus;0,9;0,872286096;;;;;;;;;;
salt;pepper;0,210526316;0,931884706;;;;;;;;;;
simon;garfunkel;;0,898123965;;;;;;;;;;
skull;bones;0,2;0,93858723;;;;;;;;;;
smoke;mirrors;0,222222222;0,867097363;;;;;;;;;;
stars;stripes;0,111111111;1,068861842;;;;;;;;;;
sweet;sour;0,333333333;1,095240772;;;;;;;;;;
tarzan;jane;;0,984830815;;;;;;;;;;
theiliad;theodyssey;;0,98562504;;;;;;;;;;
theowl;thepussycat;;1,0066454;;;;;;;;;;
