Column1;Column2;Column3;Column4;Column5;Column6;;;;;
Pearson correlation glove;-0.06329431820938598;;;;;;;;;
Word;Popularity;Antonym;Popularity;Abs;Similarity glove;;;;;
inhale;0;exhale;0;0;0,178003371;;;;;
miser;0;spendthrift;0;0;0,737589031;;;;Min;0,070423126
obedient;2;disobedient;2;0;0,456554294;;;;max;0,84586148
optimist;0;pessimist;0;0;0,333229005;;;;average;0,414851411
sow;3;reap;3;0;0,450819731;;;;;
yin;0;yang;0;0;0,265004694;;;;;
fore;6;aft;5;1;0,486085594;;;;;
fortunate;21;unfortunate;22;1;0,407653213;;;;;
frequent;34;seldom;33;1;0,535075963;;;;;
lawful;2;unlawful;1;1;0,320910454;;;;;
nadir;2;zenith;1;1;0,563117862;;;;;
plentiful;7;scarce;6;1;0,432828724;;;;;
poverty;19;wealth;20;1;0,481465816;;;;;
prudent;1;imprudent;0;1;0,414463222;;;;;
rude;5;courteous;6;1;0,546618432;;;;;
success;86;failure;85;1;0,451903164;;;;;
zenith;1;nadir;2;1;0,563117862;;;;;
zip;1;unzip;0;1;0,506230533;;;;;
brighten;0;fade;2;2;0,623626441;;;;;
fade;2;brighten;0;2;0,623626441;;;;;
glad;36;sad;34;2;0,369508386;;;;;
guest;34;host;36;2;0,420911372;;;;;
harmful;3;harmless;5;2;0,464783192;;;;;
harsh;12;mild;14;2;0,539910227;;;;;
intelligent;25;stupid;23;2;0,560883284;;;;;
junior;29;senior;31;2;0,251058757;;;;;
lengthen;2;shorten;4;2;0,237942517;;;;;
melt;4;freeze;6;2;0,492055416;;;;;
polite;7;rude;5;2;0,400938272;;;;;
rough;40;smooth;42;2;0,470820367;;;;;
abundant;9;scarce;6;3;0,516839594;;;;;
antonym;0;synonym;3;3;0,334256291;;;;;
ascend;1;descend;4;3;0,357086241;;;;;
bless;8;curse;11;3;0,580501884;;;;;
clockwise;3;counterclockwise;0;3;0,136281848;;;;;
clumsy;6;graceful;9;3;0,625858277;;;;;
dreary;6;cheerful;9;3;0,664133191;;;;;
intentional;5;accidental;8;3;0,425858915;;;;;
north;62;south;59;3;0,107552648;;;;;
synonym;3;antonym;0;3;0,334256291;;;;;
win;55;lose;58;3;0,37191391;;;;;
borrow;9;lend;13;4;0,372107744;;;;;
courteous;6;discourteous;2;4;0,600049049;;;;;
demand;101;supply;97;4;0,378011882;;;;;
fold;6;unfold;2;4;0,567845255;;;;;
lend;13;borrow;9;4;0,372107744;;;;;
unfold;2;fold;6;4;0,567845255;;;;;
virtue;30;vice;26;4;0,682955295;;;;;
create;53;destroy;48;5;0,507353336;;;;;
daytime;18;nighttime;13;5;0,308759272;;;;;
nighttime;13;daytime;18;5;0,308759272;;;;;
downwards;0;upwards;6;6;0,237873137;;;;;
east;42;west;48;6;0,110512316;;;;;
lazy;9;industrious;3;6;0,655015856;;;;;
cool;58;warm;65;7;0,338843703;;;;;
export;9;import;16;7;0,167958319;;;;;
gloomy;2;cheerful;9;7;0,531745434;;;;;
horizontal;9;vertical;16;7;0,073381841;;;;;
ill;26;healthy;33;7;0,614138186;;;;;
landlord;12;tenant;5;7;0,219924569;;;;;
lenient;3;strict;10;7;0,555043966;;;;;
strict;10;lenient;3;7;0,555043966;;;;;
transparent;12;opaque;5;7;0,336652637;;;;;
clever;15;stupid;23;8;0,4471699;;;;;
guilty;29;innocent;37;8;0,470830083;;;;;
external;38;internal;47;9;0,169968069;;;;;
internal;47;external;38;9;0,169968069;;;;;
admit;37;deny;47;10;0,392279923;;;;;
approve;14;disapprove;4;10;0,364861012;;;;;
awake;19;asleep;29;10;0,227885783;;;;;
hill;38;valley;48;10;0,393808067;;;;;
maximum;78;minimum;68;10;0,227739751;;;;;
permanent;40;temporary;30;10;0,172918856;;;;;
sunny;12;cloudy;2;10;0,371216357;;;;;
vast;60;tiny;49;11;0,595643461;;;;;
attic;14;cellar;26;12;0,503608346;;;;;
gentle;27;rough;40;13;0,549891979;;;;;
dangerous;44;safe;58;14;0,442928314;;;;;
plural;0;singular;14;14;0,335385442;;;;;
push;36;pull;50;14;0,224818707;;;;;
scatter;2;collect;16;14;0,71689409;;;;;
singular;14;plural;0;14;0,335385442;;;;;
wax;14;wane;0;14;0,782573298;;;;;
loyal;17;disloyal;2;15;0,621806592;;;;;
rapid;43;slow;58;15;0,408514857;;;;;
upstairs;27;downstairs;12;15;0,070423126;;;;;
wet;51;dry;66;15;0,271473885;;;;;
bitter;52;sweet;68;16;0,474693954;;;;;
come;589;go;605;16;0,191336274;;;;;
compulsory;6;voluntary;22;16;0,439223647;;;;;
dusk;9;dawn;25;16;0,370970845;;;;;
join;60;separate;76;16;0,634207726;;;;;
separate;76;join;60;16;0,634207726;;;;;
sick;49;healthy;33;16;0,558337688;;;;;
voluntary;22;compulsory;6;16;0,439223647;;;;;
arrive;24;depart;7;17;0,364976406;;;;;
blame;34;praise;17;17;0,555998057;;;;;
brave;20;cowardly;3;17;0,530382216;;;;;
foolish;16;wise;33;17;0,442922771;;;;;
messy;3;neat;21;18;0,536483675;;;;;
neat;21;messy;3;18;0,536483675;;;;;
sober;16;drunk;34;18;0,485633731;;;;;
bold;20;meek;1;19;0,84586148;;;;;
grant;35;refuse;16;19;0,656624019;;;;;
fast;78;slow;58;20;0,288627267;;;;;
float;3;sink;23;20;0,605353951;;;;;
laugh;28;cry;48;20;0,342034638;;;;;
sink;23;float;3;20;0,605353951;;;;;
slow;58;fast;78;20;0,288627267;;;;;
broad;82;narrow;61;21;0,401114047;;;;;
cheap;23;expensive;44;21;0,402059019;;;;;
qualified;24;unqualified;2;22;0,477237701;;;;;
unqualified;2;qualified;24;22;0,477237701;;;;;
conceal;7;reveal;30;23;0,490580201;;;;;
fail;37;succeed;14;23;0,41454649;;;;;
inferior;7;superior;30;23;0,357815564;;;;;
rich;69;poor;92;23;0,495850027;;;;;
boy;235;girl;211;24;0,174435675;;;;;
generous;25;stingy;1;24;0,585104078;;;;;
girl;211;boy;235;24;0,174435675;;;;;
mature;31;immature;7;24;0,579120487;;;;;
cheerful;9;sad;34;25;0,575801343;;;;;
loose;53;tight;28;25;0,454162121;;;;;
thick;67;thin;92;25;0,243170619;;;;;
tight;28;loose;53;25;0,454162121;;;;;
vacant;11;occupied;36;25;0,435173154;;;;;
giant;23;tiny;49;26;0,449576855;;;;;
inner;53;outer;27;26;0,189057469;;;;;
outer;27;inner;53;26;0,189057469;;;;;
victory;54;defeat;28;26;0,252745032;;;;;
