Pearson correlation w2v,0.0019689775038220178
Word,Popularity,Antonym,Popularity,Abs,Similarity wup
inhale,0,exhale,0,0,0.8947338461875916
miser,0,spendthrift,0,0,1.1457301527261734
obedient,2,disobedient,2,0,1.134082406759262
optimist,0,pessimist,0,0,0.9809337388724089
sow,3,reap,3,0,1.0364597290754318
yin,0,yang,0,0,0.9657216370105743
fore,6,aft,5,1,1.0841292291879654
fortunate,21,unfortunate,22,1,0.9105544462800026
frequent,34,seldom,33,1,0.9555805325508118
lawful,2,unlawful,1,1,0.9781464487314224
nadir,2,zenith,1,1,1.1488432884216309
plentiful,7,scarce,6,1,0.8553591668605804
poverty,19,wealth,20,1,0.9782338906079531
prudent,1,imprudent,0,1,1.074432611465454
rude,5,courteous,6,1,1.01823958940804
success,86,failure,85,1,0.9038399010896683
zenith,1,nadir,2,1,1.1488432884216309
zip,1,unzip,0,1,1.1032092422246933
brighten,0,fade,2,2,0.9252783358097076
fade,2,brighten,0,2,0.9252783358097076
glad,36,sad,34,2,1.121706485748291
guest,34,host,36,2,0.9039781168103218
harmful,3,harmless,5,2,1.0203978568315506
harsh,12,mild,14,2,0.9471429139375687
intelligent,25,stupid,23,2,1.1092209219932556
junior,29,senior,31,2,1.0132712312042713
lengthen,2,shorten,4,2,1.0416738837957382
melt,4,freeze,6,2,1.196066603064537
polite,7,rude,5,2,1.0143486931920052
rough,40,smooth,42,2,0.9061716496944427
abundant,9,scarce,6,3,0.8782462328672409
antonym,0,synonym,3,3,1.0952407717704773
ascend,1,descend,4,3,0.8740182816982269
bless,8,curse,11,3,0.9500052705407143
clockwise,3,counterclockwise,0,3,0.9685483053326607
clumsy,6,graceful,9,3,0.7938317209482193
dreary,6,cheerful,9,3,1.1055894643068314
intentional,5,accidental,8,3,1.003158010309562
north,62,south,59,3,1.0401164591312408
synonym,3,antonym,0,3,1.0952407717704773
win,55,lose,58,3,0.8480808585882187
borrow,9,lend,13,4,1.0972715765237808
courteous,6,discourteous,2,4,0.8778184279799461
demand,101,supply,97,4,0.9064119830727577
fold,6,unfold,2,4,0.9821620900183916
lend,13,borrow,9,4,1.0972715765237808
unfold,2,fold,6,4,0.9821620900183916
virtue,30,vice,26,4,1.0520976297557354
create,53,destroy,48,5,0.9577126502990723
daytime,18,nighttime,13,5,1.0339058190584183
nighttime,13,daytime,18,5,1.0339058190584183
downwards,0,upwards,6,6,0.7955007255077362
east,42,west,48,6,0.8950086385011673
lazy,9,industrious,3,6,1.1780404299497604
cool,58,warm,65,7,0.8544539958238602
export,9,import,16,7,0.983955716714263
gloomy,2,cheerful,9,7,0.9210864007472992
horizontal,9,vertical,16,7,1.0029722738545388
ill,26,healthy,33,7,0.8880705907940865
landlord,12,tenant,5,7,1.0087559605017304
lenient,3,strict,10,7,0.9735363349318504
strict,10,lenient,3,7,0.9735363349318504
transparent,12,opaque,5,7,1.0077637620270252
clever,15,stupid,23,8,0.9513827040791512
guilty,29,innocent,37,8,0.8747371137142181
external,38,internal,47,9,0.9720899611711502
internal,47,external,38,9,0.9720899611711502
admit,37,deny,47,10,1.1157397329807281
approve,14,disapprove,4,10,0.9565662816166878
awake,19,asleep,29,10,1.0959241539239883
hill,38,valley,48,10,1.157360851764679
maximum,78,minimum,68,10,0.908052533864975
permanent,40,temporary,30,10,0.9680111929774284
sunny,12,cloudy,2,10,1.0839167535305023
vast,60,tiny,49,11,0.9441629871726036
attic,14,cellar,26,12,0.9082601368427277
gentle,27,rough,40,13,1.1385829150676727
dangerous,44,safe,58,14,1.0718840509653091
plural,0,singular,14,14,1.1447852551937103
push,36,pull,50,14,1.0976214557886124
scatter,2,collect,16,14,0.9375713765621185
singular,14,plural,0,14,1.1447852551937103
wax,14,wane,0,14,1.1036077365279198
loyal,17,disloyal,2,15,1.0406484045088291
rapid,43,slow,58,15,1.0632107257843018
upstairs,27,downstairs,12,15,0.9698792602866888
wet,51,dry,66,15,0.9234653785824776
bitter,52,sweet,68,16,0.9426092803478241
come,589,go,605,16,1.05602752789855
compulsory,6,voluntary,22,16,0.9482580982148647
dusk,9,dawn,25,16,0.7991372793912888
join,60,separate,76,16,0.9670674726366997
separate,76,join,60,16,0.9670674726366997
sick,49,healthy,33,16,1.1815176159143448
voluntary,22,compulsory,6,16,0.9482580982148647
arrive,24,depart,7,17,0.980603652074933
blame,34,praise,17,17,0.9786090645939112
brave,20,cowardly,3,17,1.1968320906162262
foolish,16,wise,33,17,0.855663925409317
messy,3,neat,21,18,1.0369986295700073
neat,21,messy,3,18,1.0369986295700073
sober,16,drunk,34,18,0.9616136215627193
bold,20,meek,1,19,0.9974155863747001
grant,35,refuse,16,19,0.9299085885286331
fast,78,slow,58,20,1.1020528376102448
float,3,sink,23,20,0.9032656997442245
laugh,28,cry,48,20,1.0664874985814095
sink,23,float,3,20,0.9032656997442245
slow,58,fast,78,20,1.1020528376102448
broad,82,narrow,61,21,0.8841945752501488
cheap,23,expensive,44,21,1.015807207673788
qualified,24,unqualified,2,22,0.976942952722311
unqualified,2,qualified,24,22,0.976942952722311
conceal,7,reveal,30,23,1.1543580144643784
fail,37,succeed,14,23,1.1083155423402786
inferior,7,superior,30,23,1.0597379952669144
rich,69,poor,92,23,1.060910202562809
boy,235,girl,211,24,0.9445761814713478
generous,25,stingy,1,24,1.0867515578866005
girl,211,boy,235,24,0.9445761814713478
mature,31,immature,7,24,0.9837136324495077
cheerful,9,sad,34,25,0.8392751812934875
loose,53,tight,28,25,0.957805622369051
thick,67,thin,92,25,0.9410191513597965
tight,28,loose,53,25,0.957805622369051
vacant,11,occupied,36,25,1.0827605053782463
giant,23,tiny,49,26,1.026725271716714
inner,53,outer,27,26,1.1162013038992882
outer,27,inner,53,26,1.1162013038992882
victory,54,defeat,28,26,0.8703160732984543
secure,30,insecure,3,27,1.0613231845200062
visible,34,invisible,7,27,1.1883423626422882
inside,162,outside,190,28,1.1211727559566498
merry,6,sad,34,28,0.9601788222789764
definite,36,indefinite,7,29,0.8235805630683899
accurate,35,inaccurate,5,30,1.0120574403554201
courage,32,cowardice,2,30,1.0826982483267784
loss,85,win,55,30,0.9463494531810284
powerful,62,weak,32,30,0.9707432594150305
satisfactory,38,unsatisfactory,8,30,0.9722035098820925
sorrow,9,joy,40,31,0.8887209370732307
calm,34,windy,2,32,0.9550445154309273
diseased,1,healthy,33,32,0.9067690521478653
healthy,33,diseased,1,32,0.9067690521478653
humble,18,proud,50,32,1.2669126689434052
attractive,39,repulsive,4,35,1.0239451993256807
fat,57,thin,92,35,0.9059645682573318
immense,14,tiny,49,35,1.087729424238205
comfort,43,discomfort,7,36,1.0981461629271507
discourage,9,encourage,45,36,1.0822109505534172
encourage,45,discourage,9,36,1.0822109505534172
wisdom,42,folly,6,36,1.0498390384018421
build,85,destroy,48,37,0.9884804133325815
minority,20,majority,57,37,1.0328790247440338
exterior,8,interior,46,38,0.9467640221118927
friend,125,enemy,87,38,1.1176175251603127
interior,46,exterior,8,38,0.9467640221118927
accept,71,decline,31,40,0.9333268105983734
decline,31,accept,71,40,0.9333268105983734
bound,42,unbound,1,41,1.1343320310115814
useful,58,useless,17,41,1.016344191506505
famous,89,unknown,47,42,1.0876006335020065
hero,46,coward,4,42,0.9645847007632256
honest,45,dishonest,3,42,0.9408244155347347
cold,161,hot,118,43,0.8486306667327881
