Column1;Column2;Column3;Column4;Column5;Column6
Pearson correlation wup;-0.07830330961690596;;;;
Word;Popularity;Antonym;Popularity;Abs;Similarity wup
inhale;0;exhale;0;0;0,285714286
miser;0;spendthrift;0;0;0,545454545
optimist;0;pessimist;0;0;0,666666667
yin;0;yang;0;0;0,888888889
nadir;2;zenith;1;1;0,125
poverty;19;wealth;20;1;0,857142857
success;86;failure;85;1;0,615384615
zenith;1;nadir;2;1;0,125
brighten;0;fade;2;2;0,222222222
guest;34;host;36;2;0,631578947
junior;29;senior;31;2;0,52173913
lengthen;2;shorten;4;2;0,222222222
melt;4;freeze;6;2;0,833333333
rough;40;smooth;42;2;0,117647059
antonym;0;synonym;3;3;0,857142857
ascend;1;descend;4;3;0,333333333
bless;8;curse;11;3;0,285714286
north;62;south;59;3;0,857142857
synonym;3;antonym;0;3;0,857142857
borrow;9;lend;13;4;0,333333333
demand;101;supply;97;4;0,363636364
lend;13;borrow;9;4;0,333333333
unfold;2;fold;6;4;0,181818182
virtue;30;vice;26;4;0,571428571
create;53;destroy;48;5;0,4
daytime;18;nighttime;13;5;0,833333333
nighttime;13;daytime;18;5;0,833333333
east;42;west;48;6;0,142857143
export;9;import;16;7;0,857142857
horizontal;9;vertical;16;7;0,857142857
landlord;12;tenant;5;7;0,571428571
admit;37;deny;47;10;0,222222222
approve;14;disapprove;4;10;0,181818182
hill;38;valley;48;10;0,666666667
maximum;78;minimum;68;10;0,857142857
permanent;40;temporary;30;10;0,4
attic;14;cellar;26;12;0,875
gentle;27;rough;40;13;0,25
plural;0;singular;14;14;0,875
push;36;pull;50;14;0,857142857
scatter;2;collect;16;14;0,235294118
singular;14;plural;0;14;0,875
wax;14;wane;0;14;0,285714286
wet;51;dry;66;15;0,142857143
bitter;52;sweet;68;16;0,315789474
come;589;go;605;16;0,235294118
dusk;9;dawn;25;16;0,9
join;60;separate;76;16;0,266666667
separate;76;join;60;16;0,266666667
arrive;24;depart;7;17;0,333333333
blame;34;praise;17;17;0,533333333
sober;16;drunk;34;18;0,333333333
grant;35;refuse;16;19;0,352941176
float;3;sink;23;20;0,153846154
laugh;28;cry;48;20;0,833333333
sink;23;float;3;20;0,153846154
slow;58;fast;78;20;0,25
broad;82;narrow;61;21;0,285714286
conceal;7;reveal;30;23;0,4
fail;37;succeed;14;23;0,5
inferior;7;superior;30;23;0,666666667
rich;69;poor;92;23;0,8
boy;235;girl;211;24;0,631578947
girl;211;boy;235;24;0,631578947
victory;54;defeat;28;26;0,857142857
inside;162;outside;190;28;0,833333333
courage;32;cowardice;2;30;0,857142857
loss;85;win;55;30;0,285714286
sorrow;9;joy;40;31;0,714285714
comfort;43;discomfort;7;36;0,833333333
discourage;9;encourage;45;36;0,25
encourage;45;discourage;9;36;0,25
wisdom;42;folly;6;36;0,363636364
minority;20;majority;57;37;0,307692308
exterior;8;interior;46;38;0,833333333
friend;125;enemy;87;38;0,153846154
interior;46;exterior;8;38;0,833333333
accept;71;decline;31;40;0,25
hero;46;coward;4;42;0,705882353
agree;51;disagree;7;44;0,5
expand;13;contract;59;46;0,166666667
slim;10;fat;57;47;0,285714286
heaven;23;hell;74;51;0,833333333
interesting;81;dull;27;54;0,285714286
grow;63;shrink;5;58;0,25
justice;75;injustice;16;59;0,266666667
combine;14;separate;76;62;0,5
offer;79;refuse;16;63;0,266666667
simple;155;complex;90;65;0,105263158
leader;69;follower;3;66;0,75
sour;2;sweet;68;66;0,333333333
sweet;68;sour;2;66;0,333333333
raise;51;lower;118;67;0,1
forget;52;remember;120;68;0,5
advantage;73;disadvantage;4;69;0,615384615
poetry;82;prose;13;69;0,833333333
regular;79;irregular;9;70;0,571428571
enter;78;exit;7;71;0,4
second;341;hand;418;77;0,153846154
ally;9;enemy;87;78;0,705882353
bent;34;straight;113;79;0,166666667
