Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;;;;;;;
Average wup;0.42474353534470344;Std wup;0.25416997232067867;Skew wup;0.5511387649693952;Kurtosis wup;-1.1225951799519582;;;;;Min;0,1;0,733172476
Average w2v;1.0008027708013607;Std w2v;0.10022782242346678;Skew w2v;0.24357676753139354;Kurtosis w2v;-0.12207222221688996;;;;;Max;0,9;1,350894392
Word;Antonym;Similarity wup;Similarity w2v;;;;;;;;;;;
absent;present;0,333333333;0,974787304;;;;;;;;;Count;181;
abundant;scarce;;0,878246233;;;;;;;;;;;
accept;decline;0,25;0,933326811;;;;;;;;;;;
accurate;inaccurate;;1,01205744;;;;;;;;;;;
admit;deny;0,222222222;1,115739733;;;;;;;;;;;
advantage;disadvantage;0,615384615;0,840658888;;;;;;;;;;;
against;for;;1,136720151;;;;;;;;;;;
agree;disagree;0,5;0,8728562;;;;;;;;;;;
alive;dead;;0,872217372;;;;;;;;;;;
all;none;;0,85330002;;;;;;;;;;;
ally;enemy;0,705882353;1,080086544;;;;;;;;;;;
always;never;;1,119257048;;;;;;;;;;;
ancient;modern;0,666666667;1,042524144;;;;;;;;;;;
answer;question;0,266666667;1,012035793;;;;;;;;;;;
antonym;synonym;0,857142857;1,095240772;;;;;;;;;;;
apart;together;;0,873522282;;;;;;;;;;;
appear;disappear;0,4;0,913188875;;;;;;;;;;;
approve;disapprove;0,181818182;0,956566282;;;;;;;;;;;
arrive;depart;0,333333333;0,980603652;;;;;;;;;;;
artificial;natural;;1,018560436;;;;;;;;;;;
ascend;descend;0,333333333;0,874018282;;;;;;;;;;;
attic;cellar;0,875;0,908260137;;;;;;;;;;;
attractive;repulsive;;1,023945199;;;;;;;;;;;
awake;asleep;;1,095924154;;;;;;;;;;;
backward;forward;;0,88634263;;;;;;;;;;;
bad;good;0,666666667;0,960597642;;;;;;;;;;;
beautiful;ugly;;1,101922274;;;;;;;;;;;
before;after;;0,997398553;;;;;;;;;;;
begin;end;0,352941176;1,039369654;;;;;;;;;;;
below;above;;0,819545642;;;;;;;;;;;
bent;straight;0,166666667;0,926760346;;;;;;;;;;;
best;worst;0,5;0,878264032;;;;;;;;;;;
better;worse;0,666666667;0,976790523;;;;;;;;;;;
big;little;;1,229053169;;;;;;;;;;;
bitter;sweet;0,315789474;0,94260928;;;;;;;;;;;
black;white;0,153846154;0,887342282;;;;;;;;;;;
blame;praise;0,533333333;0,978609065;;;;;;;;;;;
bless;curse;0,285714286;0,950005271;;;;;;;;;;;
bold;meek;;0,997415586;;;;;;;;;;;
borrow;lend;0,333333333;1,097271577;;;;;;;;;;;
bottom;top;0,625;1,020871591;;;;;;;;;;;
bound;unbound;;1,134332031;;;;;;;;;;;
boundless;limited;;1,184963524;;;;;;;;;;;
boy;girl;0,631578947;0,944576181;;;;;;;;;;;
brave;cowardly;;1,196832091;;;;;;;;;;;
bright;dim;;0,933983259;;;;;;;;;;;
brighten;fade;0,222222222;0,925278336;;;;;;;;;;;
broad;narrow;0,285714286;0,884194575;;;;;;;;;;;
build;destroy;;0,988480413;;;;;;;;;;;
calm;windy;;0,955044515;;;;;;;;;;;
can;cannot;;0,993982421;;;;;;;;;;;
capable;incapable;;0,998921985;;;;;;;;;;;
captive;free;0,181818182;1,035530481;;;;;;;;;;;
careful;careless;;1,019955017;;;;;;;;;;;
cheap;expensive;;1,015807208;;;;;;;;;;;
cheerful;sad;;0,839275181;;;;;;;;;;;
clear;cloudy;;0,946013547;;;;;;;;;;;
clever;stupid;;0,951382704;;;;;;;;;;;
clockwise;counterclockwise;;0,968548305;;;;;;;;;;;
close;far;0,285714286;1,023344368;;;;;;;;;;;
closed;ajar;;1,140176192;;;;;;;;;;;
clumsy;graceful;;0,793831721;;;;;;;;;;;
cold;hot;;0,848630667;;;;;;;;;;;
combine;separate;0,5;0,972230708;;;;;;;;;;;
come;go;0,235294118;1,056027528;;;;;;;;;;;
comfort;discomfort;0,833333333;1,098146163;;;;;;;;;;;
common;rare;;0,809288412;;;;;;;;;;;
compulsory;voluntary;;0,948258098;;;;;;;;;;;
conceal;reveal;0,4;1,154358014;;;;;;;;;;;
contract;expand;;0,930988133;;;;;;;;;;;
cool;warm;;0,854453996;;;;;;;;;;;
correct;incorrect;;1,199493483;;;;;;;;;;;
courage;cowardice;0,857142857;1,082698248;;;;;;;;;;;
courteous;discourteous;;0,877818428;;;;;;;;;;;
create;destroy;0,4;0,95771265;;;;;;;;;;;
crooked;straight;;1,002632138;;;;;;;;;;;
cruel;kind;;0,957410268;;;;;;;;;;;
dangerous;safe;;1,071884051;;;;;;;;;;;
dark;light;0,117647059;0,835343212;;;;;;;;;;;
day;night;0,545454545;0,919963725;;;;;;;;;;;
daytime;nighttime;0,833333333;1,033905819;;;;;;;;;;;
dead;alive;;0,872217372;;;;;;;;;;;
decline;accept;;0,933326811;;;;;;;;;;;
decrease;increase;0,333333333;1,171265647;;;;;;;;;;;
deep;shallow;0,181818182;0,984801088;;;;;;;;;;;
definite;indefinite;;0,823580563;;;;;;;;;;;
demand;supply;0,363636364;0,906411983;;;;;;;;;;;
despair;hope;0,571428571;0,876974776;;;;;;;;;;;
dim;bright;;0,933983259;;;;;;;;;;;
disappear;appear;0,4;0,913188875;;;;;;;;;;;
discourage;encourage;0,25;1,082210951;;;;;;;;;;;
diseased;healthy;;0,906769052;;;;;;;;;;;
down;up;;0,970839972;;;;;;;;;;;
downwards;upwards;;0,795500726;;;;;;;;;;;
dreary;cheerful;;1,105589464;;;;;;;;;;;
dry;moist;;0,811831236;;;;;;;;;;;
dull;bright;;1,206729949;;;;;;;;;;;
dusk;dawn;0,9;0,799137279;;;;;;;;;;;
early;late;;0,975236427;;;;;;;;;;;
east;west;0,142857143;0,895008639;;;;;;;;;;;
easy;hard;;1,350894392;;;;;;;;;;;
empty;full;0,133333333;0,962804526;;;;;;;;;;;
encourage;discourage;0,25;1,082210951;;;;;;;;;;;
end;begin;0,352941176;1,039369654;;;;;;;;;;;
enter;exit;0,4;0,967361972;;;;;;;;;;;
even;odd;;0,967570223;;;;;;;;;;;
expand;contract;0,166666667;0,930988133;;;;;;;;;;;
export;import;0,857142857;0,983955717;;;;;;;;;;;
exterior;interior;0,833333333;0,946764022;;;;;;;;;;;
external;internal;;0,972089961;;;;;;;;;;;
