Pearson correlation w2v,-0.1060220095551682
Word,Popularity,Duo,Popularity,Abs,Similarity wup
abbott,0,costello,0,0,0.9869831372052431
anarm,0,aleg,0,0,0.9925733101554215
antony,0,cleopatra,0,0,0.8960757926106453
bert,0,ernie,0,0,1.0217310935258865
bonnie,0,clyde,0,0,1.0406418517231941
cain,0,abel,0,0,0.921700544655323
crick,0,watson,0,0,0.9359101876616478
dick,0,jane,0,0,1.052861101925373
flotsam,0,jetsam,0,0,1.0641025081276894
gilbert,0,sullivan,0,0,1.146497517824173
hansel,0,gretel,0,0,1.2665172219276428
hiroshima,0,nagasaki,0,0,0.9745221640914679
jack,0,jill,0,0,0.8510482460260391
jekyll,0,hyde,0,0,1.1026792749762535
kirk,0,spock,0,0,1.0092000234872103
lancelot,0,guinevere,0,0,1.081613950431347
lewis,0,clark,0,0,1.0298780463635921
maddogs,0,englishmen,0,0,1.1209882348775864
marx,0,engels,0,0,1.020871590822935
michelson,0,morley,0,0,0.9438549727201462
napoleon,0,josephine,0,0,0.9985081789782271
orpheus,0,eurydice,0,0,1.1120992749929428
phobos,0,deimos,0,0,1.074336290359497
porgy,0,bess,0,0,1.113483987748623
republicans,0,democrats,0,0,1.0347037203609943
romeo,0,juliet,0,0,0.9543708525598049
romulus,0,remus,0,0,0.8722860962152481
simon,0,garfunkel,0,0,0.8981239646673203
tarzan,0,jane,0,0,0.9848308153450489
theiliad,0,theodyssey,0,0,0.9856250397861004
theowl,0,thepussycat,0,0,1.0066454000771046
thunder,12,lightning,12,0,0.9781704917550087
tom,0,jerry,0,0,0.8768388777971268
trinidad,0,tobago,0,0,1.1714492589235306
tristan,0,isolde,0,0,1.0537559911608696
tweedledum,0,tweedledee,0,0,0.8722173720598221
watson,0,crick,0,0,0.9359101876616478
yin,0,yang,0,0,0.9486422687768936
batman,0,robin,1,1,1.1502871811389923
bow,14,arrow,13,1,0.8175136297941208
castor,1,pollux,0,1,1.0188329499214888
lucy,1,desi,0,1,0.9524999558925629
motherhood,1,applepie,0,1,0.8235805630683899
apples,5,oranges,3,2,1.0232047270983458
barbie,0,ken,2,2,0.9498528391122818
venus,0,mars,2,2,1.151847943663597
xylem,4,phloem,1,3,0.9985940995393321
mom,1,pop,5,4,0.9611257798969746
adam,0,eve,5,5,0.9340851828455925
king,25,queen,20,5,1.0520633161067963
laurel,1,hardy,6,5,1.1982262283563614
punch,5,judy,0,5,0.9866047259420156
boys,132,girls,139,7,1.0816528350114822
divide,11,conquer,4,7,1.0190312508493662
ladies,27,gentlemen,20,7,0.9653201848268509
ulna,0,radius,9,9,1.0686593651771545
fife,0,drum,10,10,1.0649282559752464
ebony,3,ivory,16,13,0.8923805952072144
push,36,pull,50,14,0.9016440808773041
bread,41,butter,26,15,0.9445041157305241
skull,3,bones,19,16,0.9385872296988964
fast,78,slow,58,20,1.0668177604675293
stars,25,stripes,4,21,1.0688618421554565
free,243,clear,219,24,0.9174151048064232
rock,54,roll,30,24,0.9749996550381184
bacon,8,eggs,35,27,1.0207325033843517
salt,41,pepper,13,28,0.9318847060203552
fish,31,chips,2,29,1.0303023494780064
meat,45,potatoes,15,30,1.0972715765237808
fat,57,thin,92,35,1.037959724664688
smoke,40,mirrors,4,36,0.8670973628759384
cold,161,hot,118,43,1.0284910146147013
hot,118,cold,161,43,1.0284910146147013
lady,48,thetramp,0,48,0.8035022914409637
dogs,67,cats,17,50,0.9826586544513702
heaven,23,hell,74,51,0.9852399174124002
happy,91,sad,34,57,0.9281623214483261
sweet,68,sour,2,66,1.0952407717704773
bed,126,breakfast,51,75,0.9659745916724205
black,156,white,254,98,0.8981139063835144
question,250,answer,149,101,0.9558615945279598
zeroes,0,ones,114,114,1.1511740684509277
before,948,after,823,125,1.1263704895973206
left,471,right,597,126,1.034701980650425
cut,180,paste,10,170,1.003444497473538
fire,170,brimstone,0,170,0.9729916471987963
love,214,hate,42,172,1.046254713088274
war,305,peace,133,172,0.9916157023981214
give,379,take,577,198,1.0179841630160809
old,568,young,359,209,1.1116705983877182
young,359,old,568,209,1.1116705983877182
near,190,far,409,219,0.9198243096470833
death,264,taxes,44,220,1.0122168455272913
day,623,night,398,225,0.9324482977390289
open,305,shut,45,260,1.0297572240233421
big,316,tall,53,263,1.0058674039319158
high,461,low,160,301,0.9048429727554321
each,759,every,434,325,1.004388161469251
right,597,wrong,128,469,1.0205390322953463
new,1060,old,568,492,0.9706395864486694
good,767,evil,70,697,0.8283682465553284
up,1874,down,888,986,1.0979487001895905
in,19536,out,2058,17478,0.9090682044625282
