Column1;Column2;Column3;Column4;Column5;Column6
Pearson correlation wup;-0.11963117519496788;;;;
Word;Popularity;Duo;Popularity;Abs;Similarity wup
antony;0;cleopatra;0;0;0.46153846153846156
cain;0;abel;0;0;0.6
crick;0;watson;0;0;0.13333333333333333
flotsam;0;jetsam;0;0;0.7272727272727273
gilbert;0;sullivan;0;0;0.13333333333333333
hiroshima;0;nagasaki;0;0;0.9
kirk;0;spock;0;0;0.32
lancelot;0;guinevere;0;0;0.9
lewis;0;clark;0;0;0.5714285714285714
marx;0;engels;0;0;0.5454545454545454
michelson;0;morley;0;0;0.6
orpheus;0;eurydice;0;0;0.9
phobos;0;deimos;0;0;0.875
porgy;0;bess;0;0;0.4
republicans;0;democrats;0;0;0.6
romulus;0;remus;0;0;0.9
thunder;12;lightning;12;0;0.5882352941176471
tom;0;jerry;0;0;0.6
trinidad;0;tobago;0;0;0.8333333333333334
tristan;0;isolde;0;0;0.9
watson;0;crick;0;0;0.13333333333333333
yin;0;yang;0;0;0.8888888888888888
batman;0;robin;1;1;0.48
bow;14;arrow;13;1;0.10526315789473684
castor;1;pollux;0;1;0.8235294117647058
apples;5;oranges;3;2;0.782608695652174
venus;0;mars;2;2;0.8888888888888888
xylem;4;phloem;1;3;0.8888888888888888
mom;1;pop;5;4;0.8571428571428571
adam;0;eve;5;5;0.6
king;25;queen;20;5;0.5714285714285714
laurel;1;hardy;6;5;0.5217391304347826
boys;132;girls;139;7;0.631578947368421
ladies;27;gentlemen;20;7;0.6
ulna;0;radius;9;9;0.1111111111111111
fife;0;drum;10;10;0.7272727272727273
ebony;3;ivory;16;13;0.2222222222222222
push;36;pull;50;14;0.8571428571428571
bread;41;butter;26;15;0.75
skull;3;bones;19;16;0.2
stars;25;stripes;4;21;0.1111111111111111
free;243;clear;219;24;0.3333333333333333
rock;54;roll;30;24;0.13333333333333333
bacon;8;eggs;35;27;0.375
salt;41;pepper;13;28;0.21052631578947367
fish;31;chips;2;29;0.2
meat;45;potatoes;15;30;0.6666666666666666
smoke;40;mirrors;4;36;0.2222222222222222
dogs;67;cats;17;50;0.8571428571428571
heaven;23;hell;74;51;0.8333333333333334
sweet;68;sour;2;66;0.3333333333333333
bed;126;breakfast;51;75;0.2222222222222222
black;156;white;254;98;0.15384615384615385
question;250;answer;149;101;0.26666666666666666
zeroes;0;ones;114;114;0.46153846153846156
left;471;right;597;126;0.125
cut;180;paste;10;170;0.4
fire;170;brimstone;0;170;0.2857142857142857
love;214;hate;42;172;0.8571428571428571
war;305;peace;133;172;0.3076923076923077
give;379;take;577;198;0.23529411764705882
old;568;young;359;209;0.14285714285714285
young;359;old;568;209;0.14285714285714285
death;264;taxes;44;220;0.26666666666666666
day;623;night;398;225;0.5454545454545454
high;461;low;160;301;0.11764705882352941
right;597;wrong;128;469;0.23529411764705882
good;767;evil;70;697;0.25
up;1874;down;888;986;0.25
in;19536;out;2058;17478;0.26666666666666666
