Word,Synonyms,Average score,StD
(amazing - 20,"astonishing (1.0 - 8), astounding (1.0 - 5), ",1.0,0.0
(anger - 46,"nettle (0.11764705882352941 - 0), ",0.11764705882352941,0.0
(answer - 149,"reply (1.0 - 37), retort (0.2857142857142857 - 4), ",0.6428571428571428,0.3571428571428572
(ask - 116,"expect (0.2222222222222222 - 107), demand (0.16666666666666666 - 101), request (0.18181818181818182 - 49), examine (0.2857142857142857 - 33), inquire (1.0 - 6), quiz (0.5 - 2), query (0.6 - 1), interrogate (0.5 - 0), question (0.125 - 250), ",0.3979357062690396,0.2671455203137837
(bad - 139,"wrong (0.6153846153846154 - 128), base (0.15384615384615385 - 84), evil (0.2857142857142857 - 70), cross (0.16666666666666666 - 44), gross (0.3076923076923077 - 26), rank (0.3333333333333333 - 22), inferior (0.18181818181818182 - 7), imperfect (0.3076923076923077 - 4), foul (0.2857142857142857 - 4), ",0.2930957930957931,0.13071671116846564
(begin - 82,"start (0.13333333333333333 - 140), launch (0.3333333333333333 - 10), initiate (0.6 - 5), open (0.35294117647058826 - 305), ",0.35490196078431374,0.1655556974730329
(brave - 20,"heroic (0.13333333333333333 - 20), bold (0.125 - 20), daring (0.14285714285714285 - 12), gallant (0.631578947368421 - 4), ",0.2581923558897243,0.2156674159687448
(break - 86,"crash (0.7142857142857143 - 20), wreck (0.3076923076923077 - 8), smash (0.6666666666666666 - 4), rupture (0.25 - 3), fracture (0.25 - 1), ",0.4377289377289377,0.20798556087555406
(calm - 34,"smooth (0.26666666666666666 - 42), quiet (0.1111111111111111 - 74), level (0.5 - 212), still (0.125 - 731), ",0.25069444444444444,0.15627777530908085
(come - 589,"approach (0.2222222222222222 - 122), reach (0.26666666666666666 - 105), advance (0.25 - 56), ",0.24629629629629632,0.018332398030762347
(cool - 58,"chilly (0.2222222222222222 - 5), cold (0.3 - 161), ",0.26111111111111107,0.03888888888888889
(crooked - 2,"zigzag (0.25 - 0), hooked (0.2 - 6), curved (0.2222222222222222 - 7), twisted (0.25 - 19), bent (0.8571428571428571 - 34), ",0.35587301587301584,0.2513358615349684
(cry - 48,"scream (0.9230769230769231 - 13), roar (0.2857142857142857 - 13), yell (1.0 - 9), shout (1.0 - 7), wail (0.7142857142857143 - 3), bellow (0.9230769230769231 - 2), yowl (0.9230769230769231 - 0), sob (0.26666666666666666 - 0), ",0.7544871794871796,0.2883473667888075
(cut - 180,"crop (0.21052631578947367 - 20), slice (0.8571428571428571 - 11), slit (0.14285714285714285 - 6), slash (0.2222222222222222 - 3), chop (0.14285714285714285 - 3), gash (0.2222222222222222 - 1), prick (0.14285714285714285 - 1), nick (0.2857142857142857 - 0), ",0.27829991645781116,0.22389479508896035
(dark - 170,"black (0.42857142857142855 - 156), ",0.42857142857142855,0.0
(decide - 38,"choose (0.6666666666666666 - 48), settle (0.3333333333333333 - 23), resolve (0.3333333333333333 - 12), determine (0.5 - 92), ",0.4583333333333333,0.13819269959814165
(delicious - 4,"savory (0.34782608695652173 - 3), ",0.34782608695652173,0.0
(describe - 41,"represent (0.15384615384615385 - 38), relate (0.15384615384615385 - 7), portray (0.14285714285714285 - 6), characterize (0.15384615384615385 - 6), recount (0.5714285714285714 - 2), narrate (0.5714285714285714 - 0), record (0.13333333333333333 - 134), report (0.5714285714285714 - 153), picture (0.13333333333333333 - 161), ",0.2872608872608873,0.2010782370029993
(destroy - 48,"waste (0.3333333333333333 - 35), kill (0.4 - 62), ruin (0.4 - 14), extinguish (0.6666666666666666 - 1), demolish (0.8 - 0), raze (0.8 - 0), slay (0.3333333333333333 - 0), end (0.4 - 400), ",0.5166666666666666,0.19075871903765995
(difference - 148,"contrast (0.4 - 73), disagreement (0.5454545454545454 - 10), incompatibility (0.36363636363636365 - 1), inequity (0.6153846153846154 - 0), dissimilarity (0.9090909090909091 - 0), ",0.5667132867132867,0.19446173159397168
(do - 1259,"effect (0.15384615384615385 - 213), finish (0.26666666666666666 - 37), ",0.21025641025641026,0.056410256410256404
(dull - 27,"plain (0.4 - 47), boring (0.4 - 5), slow (0.25 - 58), ",0.35000000000000003,0.07071067811865477
(eager - 26,"keen (0.2 - 11), ",0.2,0.0
(end - 400,"close (0.15384615384615385 - 230), stop (0.14285714285714285 - 110), finish (0.14285714285714285 - 37), halt (0.15384615384615385 - 10), cessation (0.13333333333333333 - 1), discontinuance (0.11764705882352941 - 1), ",0.14073116426057602,0.012520977730076993
(enjoy - 43,"appreciate (0.15384615384615385 - 26), relish (1.0 - 8), devour (0.4 - 2), savor (1.0 - 1), like (0.4 - 1237), ",0.5907692307692307,0.34601364682188807
(explain - 63,"elaborate (0.8333333333333334 - 31), justify (0.2 - 26), define (0.2222222222222222 - 20), clarify (0.9090909090909091 - 13), interpret (0.2222222222222222 - 11), ",0.4773737373737374,0.32256091885536764
(fair - 68,"objective (0.35294117647058826 - 91), ",0.35294117647058826,0.0
(fall - 136,"drop (0.2857142857142857 - 57), plunge (0.2222222222222222 - 5), tumble (0.2222222222222222 - 3), ",0.24338624338624337,0.029930445764509945
(fast - 78,"quick (0.11764705882352941 - 66), rapid (0.125 - 43), fleet (0.26666666666666666 - 12), ",0.16977124183006534,0.06858113905773826
(fat - 57,"plump (0.2222222222222222 - 4), stout (0.32 - 2), full (0.23529411764705882 - 225), ",0.25917211328976036,0.04334160790529718
(fear - 123,"anxiety (0.5714285714285714 - 39), terror (0.9333333333333333 - 23), panic (0.9333333333333333 - 22), alarm (0.9333333333333333 - 16), horror (0.9333333333333333 - 16), apprehension (0.9333333333333333 - 11), dread (0.9333333333333333 - 9), dismay (0.7142857142857143 - 5), awe (0.6666666666666666 - 5), scare (0.5333333333333333 - 3), fright (1.0 - 2), ",0.8259740259740261,0.16173104554165235
(fly - 32,"coast (0.3333333333333333 - 34), wing (0.21052631578947367 - 17), sail (0.4 - 10), glide (0.10526315789473684 - 2), cruise (0.08333333333333333 - 1), soar (0.09090909090909091 - 0), flit (0.09523809523809523 - 0), waft (0.36363636363636365 - 0), skim (0.42105263157894735 - 0), ",0.2336991468570416,0.13693919069863233
(funny - 39,"silly (0.14285714285714285 - 15), comic (0.14285714285714285 - 8), ",0.14285714285714285,0.0
(get - 719,"find (0.2608695652173913 - 395), gain (0.2222222222222222 - 73), score (0.2608695652173913 - 59), win (0.38095238095238093 - 55), catch (0.18181818181818182 - 42), bag (0.09523809523809523 - 42), net (0.08695652173913043 - 30), gather (0.09090909090909091 - 18), collect (0.45454545454545453 - 16), pickup (0.08 - 14), fetch (0.6 - 5), salvage (0.21052631578947367 - 5), rep (0.09090909090909091 - 0), ",0.23198588342753101,0.15554812500303852
(go - 605,"move (0.2222222222222222 - 168), travel (0.2222222222222222 - 55), fade (0.19047619047619047 - 2), ",0.21164021164021163,0.014965222882254974
(good - 767,"well (0.14285714285714285 - 757), fine (0.23529411764705882 - 149), friendly (0.26666666666666666 - 61), superior (0.15384615384615385 - 30), ",0.19966602025425553,0.05264303527601843
