Word,Synonyms,Average score,StD
amazing,"astonishing (1.0), astounding (1.0), ",1.0,0.0
anger,"nettle (0.11764705882352941), ",0.11764705882352941,0.0
answer,"reply (1.0), retort (0.2857142857142857), ",0.6428571428571428,0.3571428571428572
ask,"question (0.125), demand (0.16666666666666666), request (0.18181818181818182), expect (0.2222222222222222), inquire (1.0), query (0.6), interrogate (0.5), examine (0.2857142857142857), quiz (0.5), ",0.39793570626903957,0.26714552031378375
bad,"evil (0.2857142857142857), inferior (0.18181818181818182), imperfect (0.3076923076923077), cross (0.16666666666666666), wrong (0.6153846153846154), gross (0.3076923076923077), base (0.15384615384615385), foul (0.2857142857142857), rank (0.3333333333333333), ",0.2930957930957931,0.13071671116846564
begin,"start (0.13333333333333333), open (0.35294117647058826), launch (0.3333333333333333), initiate (0.6), ",0.3549019607843137,0.1655556974730329
brave,"daring (0.14285714285714285), heroic (0.13333333333333333), bold (0.125), gallant (0.631578947368421), ",0.25819235588972433,0.2156674159687448
break,"fracture (0.25), rupture (0.25), smash (0.6666666666666666), wreck (0.3076923076923077), crash (0.7142857142857143), ",0.4377289377289377,0.20798556087555406
calm,"quiet (0.1111111111111111), still (0.125), smooth (0.26666666666666666), level (0.5), ",0.25069444444444444,0.15627777530908085
come,"approach (0.2222222222222222), advance (0.25), reach (0.26666666666666666), ",0.24629629629629632,0.018332398030762347
cool,"chilly (0.2222222222222222), cold (0.3), ",0.26111111111111107,0.03888888888888889
crooked,"bent (0.8571428571428571), twisted (0.25), curved (0.2222222222222222), hooked (0.2), zigzag (0.25), ",0.3558730158730159,0.2513358615349684
cry,"shout (1.0), yell (1.0), yowl (0.9230769230769231), scream (0.9230769230769231), roar (0.2857142857142857), bellow (0.9230769230769231), wail (0.7142857142857143), sob (0.26666666666666666), ",0.7544871794871796,0.2883473667888075
cut,"gash (0.2222222222222222), slash (0.2222222222222222), prick (0.14285714285714285), nick (0.2857142857142857), slice (0.8571428571428571), slit (0.14285714285714285), chop (0.14285714285714285), crop (0.21052631578947367), ",0.27829991645781116,0.22389479508896037
dark,"black (0.42857142857142855), ",0.42857142857142855,0.0
decide,"determine (0.5), settle (0.3333333333333333), choose (0.6666666666666666), resolve (0.3333333333333333), ",0.4583333333333333,0.13819269959814165
delicious,"savory (0.34782608695652173), ",0.34782608695652173,0.0
describe,"portray (0.14285714285714285), characterize (0.15384615384615385), picture (0.13333333333333333), narrate (0.5714285714285714), relate (0.15384615384615385), recount (0.5714285714285714), represent (0.15384615384615385), report (0.5714285714285714), record (0.13333333333333333), ",0.2872608872608873,0.2010782370029993
destroy,"ruin (0.4), demolish (0.8), raze (0.8), waste (0.3333333333333333), kill (0.4), slay (0.3333333333333333), end (0.4), extinguish (0.6666666666666666), ",0.5166666666666667,0.19075871903765995
difference,"disagreement (0.5454545454545454), inequity (0.6153846153846154), contrast (0.4), dissimilarity (0.9090909090909091), incompatibility (0.36363636363636365), ",0.5667132867132867,0.19446173159397168
do,"finish (0.26666666666666666), effect (0.15384615384615385), ",0.21025641025641026,0.056410256410256404
dull,"boring (0.4), slow (0.25), plain (0.4), ",0.35000000000000003,0.07071067811865477
eager,"keen (0.2), ",0.2,0.0
end,"stop (0.14285714285714285), finish (0.14285714285714285), close (0.15384615384615385), halt (0.15384615384615385), cessation (0.13333333333333333), discontinuance (0.11764705882352941), ",0.14073116426057602,0.012520977730076993
enjoy,"appreciate (0.15384615384615385), relish (1.0), devour (0.4), savor (1.0), like (0.4), ",0.5907692307692307,0.34601364682188807
explain,"elaborate (0.8333333333333334), clarify (0.9090909090909091), define (0.2222222222222222), interpret (0.2222222222222222), justify (0.2), ",0.4773737373737374,0.32256091885536764
fair,"objective (0.35294117647058826), ",0.35294117647058826,0.0
fall,"drop (0.2857142857142857), plunge (0.2222222222222222), tumble (0.2222222222222222), ",0.24338624338624337,0.029930445764509945
fast,"quick (0.11764705882352941), rapid (0.125), fleet (0.26666666666666666), ",0.16977124183006534,0.06858113905773826
fat,"stout (0.32), plump (0.2222222222222222), full (0.23529411764705882), ",0.25917211328976036,0.04334160790529718
fear,"fright (1.0), dread (0.9333333333333333), terror (0.9333333333333333), alarm (0.9333333333333333), dismay (0.7142857142857143), anxiety (0.5714285714285714), scare (0.5333333333333333), awe (0.6666666666666666), horror (0.9333333333333333), panic (0.9333333333333333), apprehension (0.9333333333333333), ",0.8259740259740259,0.16173104554165238
fly,"soar (0.09090909090909091), flit (0.09523809523809523), wing (0.21052631578947367), waft (0.36363636363636365), glide (0.10526315789473684), coast (0.3333333333333333), skim (0.42105263157894735), sail (0.4), cruise (0.08333333333333333), ",0.2336991468570416,0.13693919069863233
funny,"comic (0.14285714285714285), silly (0.14285714285714285), ",0.14285714285714285,0.0
get,"gain (0.2222222222222222), fetch (0.6), find (0.2608695652173913), score (0.2608695652173913), win (0.38095238095238093), rep (0.09090909090909091), catch (0.18181818181818182), net (0.08695652173913043), bag (0.09523809523809523), collect (0.45454545454545453), gather (0.09090909090909091), pickup (0.08), salvage (0.21052631578947367), ",0.23198588342753101,0.15554812500303852
go,"fade (0.19047619047619047), move (0.2222222222222222), travel (0.2222222222222222), ",0.21164021164021163,0.014965222882254972
good,"fine (0.23529411764705882), superior (0.15384615384615385), friendly (0.26666666666666666), well (0.14285714285714285), ",0.19966602025425556,0.05264303527601843
great,"worthy (0.631578947368421), grand (0.14285714285714285), much (0.16666666666666666), ",0.3137009189640768,0.2249837832121593
gross,"crude (0.23529411764705882), extreme (0.2857142857142857), low (0.10526315789473684), ",0.20875718708536042,0.07602108872132825
hate,"disfavor (0.5714285714285714), dislike (0.2857142857142857), ",0.42857142857142855,0.14285714285714285
