Column1;Column2;Column3;Column4;;;;min;0,117647059;0,009673337
Word;Synonyms;Average score;StD;;;;max;0,831298331;0,372676479
amazing;astonishing (1.0), astounding (1.0), ;1;0;;;;avr;0,352072722;
anger;nettle (0.11764705882352941), ;0,117647059;0;;;;avr2;0,133647407;
answer;reply (1.0), retort (0.2857142857142857), ;0,642857143;0,357142857;;;;;;
ask;question (0.125), demand (0.16666666666666666), request (0.18181818181818182), expect (0.2222222222222222), inquire (1.0), query (0.6), interrogate (0.5), examine (0.2857142857142857), quiz (0.5), ;0,397935706;0,26714552;;;;;;
bad;evil (0.2857142857142857), inferior (0.18181818181818182), imperfect (0.3076923076923077), cross (0.16666666666666666), wrong (0.6153846153846154), gross (0.3076923076923077), base (0.15384615384615385), foul (0.2857142857142857), rank (0.3333333333333333), ;0,293095793;0,130716711;;;;;;
begin;start (0.13333333333333333), open (0.35294117647058826), launch (0.3333333333333333), initiate (0.6), ;0,354901961;0,165555697;;;;;;
brave;daring (0.14285714285714285), heroic (0.13333333333333333), bold (0.125), gallant (0.631578947368421), ;0,258192356;0,215667416;;;;;;
break;fracture (0.25), rupture (0.25), smash (0.6666666666666666), wreck (0.3076923076923077), crash (0.7142857142857143), ;0,437728938;0,207985561;;;;;;
calm;quiet (0.1111111111111111), still (0.125), smooth (0.26666666666666666), level (0.5), ;0,250694444;0,156277775;;;;;;
come;approach (0.2222222222222222), advance (0.25), reach (0.26666666666666666), ;0,246296296;0,018332398;;;;;;
cool;chilly (0.2222222222222222), cold (0.3), ;0,261111111;0,038888889;;;;;;
crooked;bent (0.8571428571428571), twisted (0.25), curved (0.2222222222222222), hooked (0.2), zigzag (0.25), ;0,355873016;0,251335862;;;;;;
cry;shout (1.0), yell (1.0), yowl (0.9230769230769231), scream (0.9230769230769231), roar (0.2857142857142857), bellow (0.9230769230769231), wail (0.7142857142857143), sob (0.26666666666666666), ;0,754487179;0,288347367;;;;;;
cut;gash (0.2222222222222222), slash (0.2222222222222222), prick (0.14285714285714285), nick (0.2857142857142857), slice (0.8571428571428571), slit (0.14285714285714285), chop (0.14285714285714285), crop (0.21052631578947367), ;0,278299916;0,223894795;;;;;;
dark;black (0.42857142857142855), ;0,428571429;0;;;;;;
decide;determine (0.5), settle (0.3333333333333333), choose (0.6666666666666666), resolve (0.3333333333333333), ;0,458333333;0,1381927;;;;;;
delicious;savory (0.34782608695652173), ;0,347826087;0;;;;;;
describe;portray (0.14285714285714285), characterize (0.15384615384615385), picture (0.13333333333333333), narrate (0.5714285714285714), relate (0.15384615384615385), recount (0.5714285714285714), represent (0.15384615384615385), report (0.5714285714285714), record (0.13333333333333333), ;0,287260887;0,201078237;;;;;;
destroy;ruin (0.4), demolish (0.8), raze (0.8), waste (0.3333333333333333), kill (0.4), slay (0.3333333333333333), end (0.4), extinguish (0.6666666666666666), ;0,516666667;0,190758719;;;;;;
difference;disagreement (0.5454545454545454), inequity (0.6153846153846154), contrast (0.4), dissimilarity (0.9090909090909091), incompatibility (0.36363636363636365), ;0,566713287;0,194461732;;;;;;
do;finish (0.26666666666666666), effect (0.15384615384615385), ;0,21025641;0,056410256;;;;;;
dull;boring (0.4), slow (0.25), plain (0.4), ;0,35;0,070710678;;;;;;
eager;keen (0.2), ;0,2;0;;;;;;
end;stop (0.14285714285714285), finish (0.14285714285714285), close (0.15384615384615385), halt (0.15384615384615385), cessation (0.13333333333333333), discontinuance (0.11764705882352941), ;0,140731164;0,012520978;;;;;;
enjoy;appreciate (0.15384615384615385), relish (1.0), devour (0.4), savor (1.0), like (0.4), ;0,590769231;0,346013647;;;;;;
explain;elaborate (0.8333333333333334), clarify (0.9090909090909091), define (0.2222222222222222), interpret (0.2222222222222222), justify (0.2), ;0,477373737;0,322560919;;;;;;
fair;objective (0.35294117647058826), ;0,352941176;0;;;;;;
fall;drop (0.2857142857142857), plunge (0.2222222222222222), tumble (0.2222222222222222), ;0,243386243;0,029930446;;;;;;
fast;quick (0.11764705882352941), rapid (0.125), fleet (0.26666666666666666), ;0,169771242;0,068581139;;;;;;
fat;stout (0.32), plump (0.2222222222222222), full (0.23529411764705882), ;0,259172113;0,043341608;;;;;;
fear;fright (1.0), dread (0.9333333333333333), terror (0.9333333333333333), alarm (0.9333333333333333), dismay (0.7142857142857143), anxiety (0.5714285714285714), scare (0.5333333333333333), awe (0.6666666666666666), horror (0.9333333333333333), panic (0.9333333333333333), apprehension (0.9333333333333333), ;0,825974026;0,161731046;;;;;;
fly;soar (0.09090909090909091), flit (0.09523809523809523), wing (0.21052631578947367), waft (0.36363636363636365), glide (0.10526315789473684), coast (0.3333333333333333), skim (0.42105263157894735), sail (0.4), cruise (0.08333333333333333), ;0,233699147;0,136939191;;;;;;
funny;comic (0.14285714285714285), silly (0.14285714285714285), ;0,142857143;0;;;;;;
get;gain (0.2222222222222222), fetch (0.6), find (0.2608695652173913), score (0.2608695652173913), win (0.38095238095238093), rep (0.09090909090909091), catch (0.18181818181818182), net (0.08695652173913043), bag (0.09523809523809523), collect (0.45454545454545453), gather (0.09090909090909091), pickup (0.08), salvage (0.21052631578947367), ;0,231985883;0,155548125;;;;;;
go;fade (0.19047619047619047), move (0.2222222222222222), travel (0.2222222222222222), ;0,211640212;0,014965223;;;;;;
good;fine (0.23529411764705882), superior (0.15384615384615385), friendly (0.26666666666666666), well (0.14285714285714285), ;0,19966602;0,052643035;;;;;;
great;worthy (0.631578947368421), grand (0.14285714285714285), much (0.16666666666666666), ;0,313700919;0,224983783;;;;;;
gross;crude (0.23529411764705882), extreme (0.2857142857142857), low (0.10526315789473684), ;0,208757187;0,076021089;;;;;;
hate;disfavor (0.5714285714285714), dislike (0.2857142857142857), ;0,428571429;0,142857143;;;;;;
have;hold (0.14285714285714285), possess (0.15384615384615385), gain (0.2), bear (0.5714285714285714), fill (0.18181818181818182), ;0,24999001;0,161981629;;;;;;
help;aid (0.2857142857142857), assist (1.0), support (0.8571428571428571), back (0.15384615384615385), serve (0.5263157894736842), succor (0.9333333333333333), benefit (0.25), ;0,57233606;0,32898863;;;;;;
hide;cover (0.25), mask (0.25), cloak (0.25), camouflage (0.23529411764705882), screen (0.25), shroud (0.25), veil (0.2222222222222222), ;0,243930906;0,010212252;;;;;;
hurry;rush (0.2222222222222222), run (0.2), speed (0.26666666666666666), race (0.25), urge (0.2857142857142857), bustle (0.2), ;0,237433862;0,032602265;;;;;;
hurt;damage (0.25), harm (1.0), wound (0.9473684210526315), distress (0.5), pain (0.23529411764705882), ;0,586532508;0,330232746;;;;;;
idea;thought (1.0), concept (0.9230769230769231), conception (0.9230769230769231), notion (0.9230769230769231), understanding (0.5714285714285714), opinion (0.7692307692307693), plan (0.9230769230769231), view (0.6153846153846154), belief (0.8333333333333334), ;0,831298331;0,141484605;;;;;;
interesting;fascinating (0.25), engaging (0.2857142857142857), keen (0.2857142857142857), animated (0.5714285714285714), spirited (0.2), inviting (0.6666666666666666), intriguing (0.25), ;0,358503401;0,168848005;;;;;;
keep;hold (0.25), preserve (0.26666666666666666), support (0.2857142857142857), ;0,267460317;0,014591092;;;;;;
kill;murder (0.9090909090909091), cancel (0.2222222222222222), ;0,565656566;0,343434343;;;;;;
little;small (0.16666666666666666), diminutive (0.3076923076923077), shrimp (0.16666666666666666), runt (0.16666666666666666), miniature (0.125), dinky (0.11764705882352941), limited (0.13333333333333333), ;0,1690961;0,059877328;;;;;;
look;gaze (0.2222222222222222), see (0.125), glance (0.23529411764705882), watch (0.1111111111111111), survey (0.23529411764705882), study (0.23529411764705882), seek (0.2857142857142857), peek (0.23529411764705882), peep (0.26666666666666666), glimpse (0.23529411764705882), stare (0.23529411764705882), gape (0.2857142857142857), leer (0.2857142857142857), view (0.2857142857142857), witness (0.15384615384615385), spy (0.11764705882352941), sight (0.25), notice (0.2857142857142857), peer (0.16666666666666666), eye (0.13333333333333333), gawk (0.15384615384615385), ;0,216222643;0,060255215;;;;;;
love;like (0.23529411764705882), esteem (0.5333333333333333), fancy (0.26666666666666666), treasure (0.26666666666666666), worship (0.2857142857142857), savor (0.23529411764705882), ;0,303828198;0,104208541;;;;;;
make;form (0.23529411764705882), construct (0.8235294117647058), design (0.3157894736842105), manufacture (0.3157894736842105), produce (0.125), build (0.25), do (0.3333333333333333), effect (0.13333333333333333), gain (0.26666666666666666), get (0.2608695652173913), ;0,305960538;0,185221333;;;;;;
mark;label (0.3333333333333333), tag (0.2222222222222222), price (0.23529411764705882), ticket (0.2222222222222222), impress (0.3157894736842105), effect (0.13333333333333333), trace (0.25), imprint (0.4444444444444444), stamp (0.25), brand (0.23529411764705882), sign (0.23529411764705882), note (0.2222222222222222), heed (0.6666666666666666), notice (0.23529411764705882), ;0,285815028;0,125790473;;;;;;
move;plod (0.6), go (0.2222222222222222), creep (0.125), crawl (0.6666666666666666), inch (0.25), poke (0.1), drag (0.1111111111111111), shuffle (0.45454545454545453), trot (0.631578947368421), walk (0.631578947368421), jog (0.26666666666666666), plug (0.1111111111111111), trudge (0.5714285714285714), slump (0.125), lumber (0.125), trail (0.125), lag (0.5882352941176471), run (0.6), sprint (0.6), trip (0.6), bound (0.26666666666666666), hotfoot (0.5263157894736842), high (0.26666666666666666), ;0,372382353;0,215832952;;;;;;
moody;short (0.3333333333333333), ;0,333333333;0;;;;;;
old;frail (0.3076923076923077), ancient (0.15384615384615385), aged (0.3333333333333333), ;0,264957265;0,079261697;;;;;;
part;portion (1.0), share (0.6), piece (0.2222222222222222), allotment (0.5454545454545454), section (0.4), fraction (0.6666666666666666), fragment (0.2222222222222222), ;0,522366522;0,253733001;;;;;;
place;space (0.2), area (0.6666666666666666), spot (1.0), plot (0.125), region (0.7272727272727273), location (0.8), situation (0.18181818181818182), position (0.8333333333333334), residence (0.7142857142857143), dwelling (0.42857142857142855), set (0.18181818181818182), site (0.5714285714285714), station (0.46153846153846156), status (0.18181818181818182), state (0.5714285714285714), ;0,509665335;0,274005875;;;;;;
plan;plot (0.8235294117647058), scheme (0.875), design (0.375), draw (0.13333333333333333), map (0.13333333333333333), diagram (0.125), procedure (0.42857142857142855), arrangement (0.5), intention (0.7142857142857143), device (0.14285714285714285), contrivance (0.13333333333333333), method (0.5714285714285714), way (0.3333333333333333), blueprint (0.9333333333333333), ;0,444452781;0,287962266;;;;;;
predicament;quandary (1.0), dilemma (0.5882352941176471), pickle (0.1111111111111111), problem (0.8571428571428571), plight (1.0), spot (0.15384615384615385), scrape (0.26666666666666666), jam (0.1111111111111111), ;0,511014149;0,372676479;;;;;;
put;place (0.125), set (0.26666666666666666), keep (0.23529411764705882), save (0.2222222222222222), effect (0.13333333333333333), do (0.2222222222222222), build (0.25), ;0,207819795;0,051850298;;;;;;
quiet;still (0.2), mute (0.23529411764705882), calm (0.1111111111111111), ;0,182135076;0,052247625;;;;;;
right;true (0.25), good (0.25), upright (0.10526315789473684), moral (0.26666666666666666), fair (0.3157894736842105), ;0,23754386;0,070397456;;;;;;
run;race (0.4444444444444444), speed (0.23529411764705882), hurry (0.2), sprint (0.5454545454545454), dash (0.23529411764705882), rush (0.6), escape (0.5555555555555556), ;0,402291826;0,161045314;;;;;;
say;tell (0.13333333333333333), recount (0.2222222222222222), command (0.26666666666666666), order (0.25), bid (0.26666666666666666), teach (0.1), train (0.11764705882352941), issue (0.2857142857142857), remark (0.2857142857142857), converse (0.26666666666666666), express (0.2857142857142857), voice (0.4), state (0.125), mutter (0.26666666666666666), mumble (0.2857142857142857), whisper (0.26666666666666666), sigh (0.2857142857142857), yell (0.2857142857142857), yelp (0.25), snarl (0.2857142857142857), hiss (0.25), grunt (0.25), snort (0.26666666666666666), roar (0.25), bellow (0.26666666666666666), thunder (0.25), boom (0.25), scream (0.26666666666666666), shriek (0.26666666666666666), screech (0.25), squawk (0.25), whine (0.23529411764705882), stammer (0.47058823529411764), stutter (0.47058823529411764), lisp (0.47058823529411764), drawl (0.25), jabber (0.26666666666666666), protest (0.25), vow (0.26666666666666666), content (0.3076923076923077), dispute (0.25), ;0,267958221;0,076638033;;;;;;
scared;frightened (1.0), alarmed (0.8888888888888888), terrified (0.8888888888888888), panicked (0.25), unnerved (0.5), shy (0.2222222222222222), disquieted (0.2222222222222222), worried (0.2857142857142857), vexed (0.25), troubled (0.25), disturbed (0.25), horrified (0.8888888888888888), terrorized (0.2), shocked (0.2222222222222222), petrified (0.2222222222222222), haunted (0.2222222222222222), shrinking (0.2), stupefied (0.2222222222222222), paralyzed (0.2222222222222222), stunned (0.16666666666666666), ;0,378730159;0,277193899;;;;;;
show;display (0.26666666666666666), exhibit (0.25), present (0.2857142857142857), note (0.23529411764705882), expose (0.5555555555555556), ;0,318646125;0,119643049;;;;;;
slow;slack (0.2222222222222222), ;0,222222222;0;;;;;;
stop;cease (0.3076923076923077), halt (0.3076923076923077), stay (0.6153846153846154), pause (0.3333333333333333), end (0.14285714285714285), finish (0.2857142857142857), ;0,332112332;0,141071883;;;;;;
story;tale (1.0), myth (0.42857142857142855), legend (0.42857142857142855), fable (0.6666666666666666), yarn (0.2857142857142857), account (0.5), narrative (1.0), chronicle (0.5), epic (0.46153846153846156), sage (0.16666666666666666), anecdote (0.2857142857142857), record (0.5454545454545454), memoir (0.4), ;0,512992136;0,240557169;;;;;;
take;hold (0.21052631578947367), catch (0.21052631578947367), grasp (0.21052631578947367), win (0.2222222222222222), capture (0.23529411764705882), pick (0.2222222222222222), remove (0.3333333333333333), steal (0.4444444444444444), lift (0.2222222222222222), purchase (0.2222222222222222), buy (0.4444444444444444), recall (0.2222222222222222), ;0,266683867;0,085620439;;;;;;
tell;show (0.125), expose (0.125), command (0.14285714285714285), order (0.13333333333333333), bid (0.14285714285714285), recount (0.11764705882352941), repeat (0.14285714285714285), ;0,132793117;0,009673337;;;;;;
think;judge (0.125), ;0,125;0;;;;;;
trouble;distress (0.2857142857142857), anguish (0.26666666666666666), anxiety (0.2857142857142857), worry (0.5333333333333333), wretchedness (0.23529411764705882), pain (0.5333333333333333), danger (0.3076923076923077), peril (0.16666666666666666), disaster (0.25), grief (0.26666666666666666), misfortune (0.42857142857142855), difficulty (0.35294117647058826), concern (0.23529411764705882), pains (0.4), inconvenience (0.2857142857142857), exertion (0.375), effort (0.42857142857142855), ;0,331598476;0,10144518;;;;;;
true;right (0.25), real (0.2857142857142857), trusty (0.13333333333333333), steady (0.15384615384615385), ;0,205723443;0,063817179;;;;;;
use;employ (0.3333333333333333), exhaust (0.26666666666666666), exercise (0.7058823529411765), ;0,435294118;0,193260801;;;;;;
